dataset,alpha_0.0,alpha_0.1,alpha_0.2,alpha_0.3,alpha_0.4,alpha_0.5,alpha_0.6,alpha_0.7,alpha_0.8,alpha_0.9,alpha_1.0
MRPC,0.6805293005671077,0.6848249027237354,0.6889763779527559,0.6975806451612904,0.6881287726358148,0.686456400742115,0.68762278978389,0.6923076923076923,0.6881287726358148,0.6889763779527559,0.6863905325443787
PAWS-Wiki,0.7072072072072072,0.7602905569007264,0.7728337236533958,0.7759815242494227,0.780045351473923,0.7782805429864253,0.7782805429864253,0.7782805429864253,0.7765237020316027,0.7765237020316027,0.7765237020316027
STS12,0.8071979434447301,0.8090452261306532,0.8020565552699229,0.8028169014084507,0.8009478672985783,0.7971698113207547,0.7913669064748201,0.7857142857142857,0.7838479809976246,0.7801418439716312,0.7761904761904762
SK-Combined,0.8008565310492506,0.8229665071770335,0.8502415458937198,0.8599033816425121,0.8619854721549637,0.8619854721549637,0.8619854721549637,0.8619854721549637,0.8619854721549637,0.8619854721549637,0.8537170263788969
SK-Codex,0.9243243243243243,0.9316455696202531,0.9316455696202531,0.9316455696202531,0.9365853658536586,0.9365853658536586,0.9365853658536586,0.9365853658536586,0.9365853658536586,0.9365853658536586,0.9365853658536586
SK-FindKG,0.7849686847599165,0.7787610619469026,0.7782608695652173,0.7625570776255708,0.7608695652173914,0.7552742616033755,0.7505518763796909,0.7483588621444202,0.7469879518072289,0.7434052757793765,0.7434052757793765
SK-GloBI,0.8216704288939052,0.8914549653579676,0.8904109589041096,0.8904761904761904,0.8926829268292683,0.8926829268292683,0.8926829268292683,0.8926829268292683,0.8926829268292683,0.8926829268292683,0.8916256157635468
SK-Oregano,0.7932692307692307,0.8125,0.81419624217119,0.8157349896480331,0.8140495867768595,0.8140495867768595,0.8140495867768595,0.8134171907756813,0.8134171907756813,0.8134171907756813,0.8115942028985508
Wiki Swap,0.8986175115207373,0.8960739030023095,0.8960739030023095,0.8960739030023095,0.8960739030023095,0.8960739030023095,0.8960739030023095,0.8960739030023095,0.8960739030023095,0.8960739030023095,0.8666666666666667
