method,threshold,accuracy,precision,recall,f1,roc_auc
AA-KEA (Our Method),0.99,0.925,0.9047619047619048,0.95,0.926829268292683,0.9733999999999998
ROUGE-1,0.8300000000000001,0.825,0.7901785714285714,0.885,0.8349056603773585,0.91735
ROUGE-2,0.65,0.81,0.7743362831858407,0.875,0.8215962441314554,0.8935124999999999
ROUGE-L,0.64,0.755,0.6875,0.935,0.7923728813559322,0.8553375000000001
BLEU,0.55,0.805,0.801980198019802,0.81,0.8059701492537313,0.883575
BERTScore,0.9500000000000001,0.795,0.7234848484848485,0.955,0.8232758620689655,0.9162750000000001
all-MiniLM-L6-v2,0.97,0.8725,0.8564593301435407,0.895,0.8753056234718827,0.943475
sentence-t5-base,0.99,0.87,0.8394495412844036,0.915,0.8755980861244019,0.943925
