method,threshold,accuracy,precision,recall,f1,roc_auc
AA-KEA (Our Method),0.99,0.7938144329896907,0.7205882352941176,0.98,0.8305084745762712,0.9012632978723405
ROUGE-1,1.0,1.0,1.0,1.0,1.0,1.0
ROUGE-2,0.9500000000000001,0.865979381443299,0.8083333333333333,0.97,0.8818181818181818,0.8056249999999999
ROUGE-L,0.19,0.6443298969072165,0.591715976331361,1.0,0.7434944237918215,0.32904255319148934
BLEU,0.91,0.8737113402061856,0.8106995884773662,0.985,0.8893905191873589,0.7827127659574468
BERTScore,0.97,0.6958762886597938,0.6375838926174496,0.95,0.7630522088353414,0.6769015957446809
all-MiniLM-L6-v2,0.98,0.8170103092783505,0.7611336032388664,0.94,0.8411633109619687,0.8273670212765958
sentence-t5-base,0.99,0.7190721649484536,0.6501650165016502,0.985,0.7833001988071571,0.8078723404255319
