method,threshold,accuracy,precision,recall,f1,roc_auc
AA-KEA (Our Method),0.16,0.7375,0.7056277056277056,0.815,0.7563805104408353,0.7896749999999999
ROUGE-1,0.47000000000000003,0.6675,0.6183745583038869,0.875,0.7246376811594203,0.7536625
ROUGE-2,0.01,0.59,0.5573248407643312,0.875,0.6809338521400778,0.6562375
ROUGE-L,0.41000000000000003,0.645,0.60431654676259,0.84,0.702928870292887,0.7103375
BLEU,0.05,0.58,0.5516129032258065,0.855,0.6705882352941176,0.64355
BERTScore,0.86,0.54,0.5211640211640212,0.985,0.6816608996539792,0.636
all-MiniLM-L6-v2,0.61,0.82,0.7758620689655172,0.9,0.8333333333333334,0.893775
sentence-t5-base,0.9,0.8525,0.8507462686567164,0.855,0.8528678304239401,0.927725
