method,threshold,accuracy,precision,recall,f1,roc_auc
AA-KEA (Our Method),0.97,0.89,0.8786407766990292,0.905,0.8916256157635468,0.934625
ROUGE-1,0.62,0.735,0.6620689655172414,0.96,0.7836734693877551,0.8331875
ROUGE-2,0.37,0.755,0.7142857142857143,0.85,0.776255707762557,0.8333249999999999
ROUGE-L,0.4,0.7075,0.6416382252559727,0.94,0.7626774847870182,0.8003125
BLEU,0.17,0.725,0.65625,0.945,0.7745901639344263,0.8188
BERTScore,0.93,0.7875,0.7203065134099617,0.94,0.8156182212581344,0.8713
all-MiniLM-L6-v2,0.9,0.7325,0.662020905923345,0.95,0.7802874743326489,0.817275
sentence-t5-base,0.96,0.6475,0.5924764890282131,0.945,0.7283236994219653,0.7595875
