method,threshold,accuracy,precision,recall,f1,roc_auc
AA-KEA (Our Method),0.54,0.7475,0.7161572052401747,0.82,0.7645687645687645,0.80175
ROUGE-1,0.47000000000000003,0.6675,0.6183745583038869,0.875,0.7246376811594203,0.7536625
ROUGE-2,0.01,0.59,0.5573248407643312,0.875,0.6809338521400778,0.6562375
ROUGE-L,0.41000000000000003,0.645,0.60431654676259,0.84,0.702928870292887,0.7103375
BLEU,0.05,0.58,0.5516129032258065,0.855,0.6705882352941176,0.64355
BERTScore,0.86,0.54,0.5211640211640212,0.985,0.6816608996539792,0.636
all-MiniLM-L6-v2,0.61,0.82,0.7758620689655172,0.9,0.8333333333333334,0.8937750000000001
sentence-t5-base,0.89,0.8475,0.8116591928251121,0.905,0.8557919621749409,0.9277
