method,threshold,accuracy,precision,recall,f1,roc_auc
AA-KEA (Our Method),0.97,0.7894736842105263,0.7283464566929134,0.925,0.8149779735682819,0.8327512562814071
ROUGE-1,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
ROUGE-2,0.9500000000000001,0.8421052631578947,0.7729083665338645,0.97,0.8603104212860311,0.7724371859296482
ROUGE-L,0.19,0.6265664160401002,0.5730659025787965,1.0,0.7285974499089253,0.3108542713567839
BLEU,0.91,0.849624060150376,0.7755905511811023,0.985,0.8678414096916299,0.7445477386934674
BERTScore,0.97,0.6766917293233082,0.6148867313915858,0.95,0.7465618860510805,0.6446859296482412
all-MiniLM-L6-v2,0.98,0.7944862155388471,0.7286821705426356,0.94,0.8209606986899564,0.8106030150753769
sentence-t5-base,0.99,0.6992481203007519,0.6273885350318471,0.985,0.7665369649805448,0.790427135678392
